"As Of Date","Time Series","Value (millions)"
"2023-11-01","PDTRMBSNA-O","648"
"2023-11-01","PDTRMBSNA-OC","93"
"2023-11-01","PDTRMBSNA-R","1069"
"2023-11-01","PDTRMBSNA-RC","-166"
"2023-11-01","PDTRMBSRPT-AO","1314"
"2023-11-01","PDTRMBSRPT-AOC","-800"
"2023-11-01","PDTRMBSRPT-C","319"
"2023-11-01","PDTRMBSRPT-CC","-276"
"2023-11-01","PDTRMBSRPT-CT","131844"
"2023-11-01","PDTRMBSRPT-CTC","-20421"
"2023-11-01","PDTRMBSRPT-DRT","69196"
"2023-11-01","PDTRMBSRPT-DRTC","10106"
"2023-11-01","PDTRMBSRPT-SPCT","10092"
"2023-11-01","PDTRMBSRPT-SPCTC","-15155"
"2023-11-01","PDTRMBSRPT-SPDR","0"
"2023-11-01","PDTRMBSRPT-SPDRC","0"
"2023-11-01","PDTRSMGO-G10","4953"
"2023-11-01","PDTRSMGO-G10C","-537"
"2023-11-01","PDTRSMGO-G13","963"
"2023-11-01","PDTRSMGO-G13C","-101"
"2023-11-01","PDTRSMGO-G5L10","1085"
"2023-11-01","PDTRSMGO-G5L10C","-306"
"2023-11-01","PDTRSMGO-L13","2205"
"2023-11-01","PDTRSMGO-L13C","159"
"2023-11-01","PDTRSMGO-TOT","11530"
"2023-11-01","PDTRSMGO-TOTC","-559"
"2023-11-01","PDTRSMGO-VRD","2324"
"2023-11-01","PDTRSMGO-VRDC","226"
"2023-11-01","PDTRTIPS-G11","722"
"2023-11-01","PDTRTIPS-G11C","-146"
"2023-11-01","PDTRTIPS-G2L6","14000"
"2023-11-01","PDTRTIPS-G2L6C","1607"
"2023-11-01","PDTRTIPS-G6L11","4522"
"2023-11-01","PDTRTIPS-G6L11C","313"
"2023-11-01","PDTRTIPS-LE2","5175"
"2023-11-01","PDTRTIPS-LE2C","2229"
"2023-11-01","PDWOAB","2072"
"2023-11-01","PDWOABC","-194"
"2023-11-01","PDWOCS","129890"
"2023-11-01","PDWOCSC","170"
"2023-11-01","PDWOFGSXM","36288"
"2023-11-01","PDWOFGSXMC","-5285"
"2023-11-01","PDWOMBS","159236"
"2023-11-01","PDWOMBSC","-19629"
"2023-11-01","PDWOSMGO","11481"
"2023-11-01","PDWOSMGOC","-558"
"2023-11-01","PDWOTIPS","19306"
"2023-11-01","PDABTOT","2097"
"2023-11-01","PDCSTOT","130722"
"2023-11-01","PDCSTOTC","-30"
"2023-11-01","PDFGSXMTOT","36466"
"2023-11-01","PDFGSXMTOTC","-5241"
"2023-11-01","PDFRN2COT-WIB","2268"
"2023-11-01","PDFRN2COT-WIBC","1342"
"2023-11-01","PDFRN2COT-WO","7960"
"2023-11-01","PDFRN2COT-WOC","6761"
"2023-11-01","PDFRN2F-TD","*"
"2023-11-01","PDFRN2F-TDC","*"
"2023-11-01","PDFRN2F-TR","*"
"2023-11-01","PDFRN2F-TRC","*"
"2023-11-01","PDFRN2GFSIG-OO","*"
"2023-11-01","PDFRN2GFSIG-OOC","*"
"2023-11-01","PDFRN2GFSIG-T","0"
"2023-11-01","PDFRN2GFSIG-TC","0"
"2023-11-01","PDFRN2NSP","3887"
"2023-11-01","PDFRN2NSPC","3431"
"2023-11-01","PDFRN2OGS-OO","2455"
"2023-11-01","PDFRN2OGS-OOC","1585"
"2023-11-01","PDFRN2OSS-OO","1044"
"2023-11-01","PDFRN2OSS-OOC","-95"
"2023-11-01","PDFRN2OSSI-OO","154"
"2023-11-01","PDFRN2OSSI-OOC","-1425"
"2023-11-01","PDFRN2TGS-T","*"
"2023-11-01","PDFRN2TGS-TC","*"
"2023-11-01","PDFRN2TSSI-T","*"
"2023-11-01","PDFRN2TSSI-TC","*"
"2023-11-01","PDFRN2TSTS-T","0"
"2023-11-01","PDFRN2TSTS-TC","*"
"2023-11-01","PDFRNIDEXT","976"
"2023-11-01","PDFRNIDEXTC","306"
"2023-11-01","PDFRNIDEXTTOTC","1688"
"2023-11-01","PDFRNIDWOEXT","6381"
"2023-11-01","PDFRNIDWOEXTC","1382"
"2023-11-01","PDFTD-CS","23039"
"2023-11-01","PDFTD-CSC","-249"
"2023-11-01","PDFTD-FGEM","3594"
"2023-11-01","PDFTD-FGEMC","1833"
"2023-11-01","PDFTD-FGM","25956"
"2023-11-01","PDFTD-FGMC","8822"
"2023-11-01","PDFTD-OM","1875"
"2023-11-01","PDFTD-OMC","-134"
"2023-11-01","PDFTD-UST","2283"
"2023-11-01","PDFTD-USTC","-1845"
"2023-11-01","PDFTD-USTET","71612"
"2023-11-01","PDFTD-USTETC","-6545"
"2023-11-01","PDFTR-CS","19289"
"2023-11-01","PDFTR-CSC","703"
"2023-11-01","PDFTR-FGEM","1440"
"2023-11-01","PDFTR-FGEMC","1202"
"2023-11-01","PDFTR-FGM","17007"
"2023-11-01","PDFTR-FGMC","-184"
"2023-11-01","PDFTR-OM","1307"
"2023-11-01","PDFTR-OMC","-551"
"2023-11-01","PDFTR-UST","3554"
"2023-11-01","PDFTR-USTC","-1236"
"2023-11-01","PDFTR-USTET","85878"
"2023-11-01","PDFTR-USTETC","-14213"
"2023-11-01","PDGSIDBEXT","194859"
"2023-11-01","PDGSIDBEXTC","23236"
"2023-11-01","PDGSWOEXT","544085"
"2023-11-01","PDGSWOEXTC","104332"
"2023-11-01","PDGSWOEXTTOT","738944"
"2023-11-01","PDGSWOEXTTOTC","127568"
"2023-11-01","PDIDBAB","25"
"2023-11-01","PDIDBABC","4"
"2023-11-01","PDIDBCS","832"
"2023-11-01","PDIDBCSC","-200"
"2023-11-01","PDIDBFGSXM","178"
"2023-11-01","PDIDBFGSXMC","44"
"2023-11-01","PDIDBMBS","55246"
"2023-11-01","PDIDBMBSC","-6990"
"2023-11-01","PDIDBSMGO","49"
